epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39459,0.77811,0.64204,1.00058,0.8584,0.86831,0.89698,0.63172,1.03463,0.69995,1.1399,0.0002375,0.0002375,0.0002375
2,12.3906,0.74137,0.57973,0.97727,0.91291,0.80326,0.87567,0.6125,1.05219,0.70327,1.13876,0.000463369,0.000463369,0.000463369
3,17.2465,0.78599,0.61058,0.98978,0.836,0.79418,0.8318,0.57345,1.07627,0.78944,1.16995,0.000664488,0.000664488,0.000664488
4,22.0811,0.80493,0.627,1.00536,0.83479,0.76768,0.82581,0.5771,1.07506,0.84307,1.15092,0.000840856,0.000840856,0.000840856
5,26.9335,0.83469,0.66369,1.01754,0.82898,0.78809,0.8293,0.57471,1.09522,0.84211,1.18463,0.000992475,0.000992475,0.000992475
6,31.8528,0.81924,0.65533,1.01919,0.70388,0.70942,0.75822,0.52622,1.08806,1.18388,1.19011,0.000940625,0.000940625,0.000940625
7,36.8317,0.80433,0.64484,1.00093,0.82942,0.77893,0.81881,0.56082,1.13196,0.87791,1.22987,0.00087875,0.00087875,0.00087875
8,41.7148,0.80645,0.63372,1.00621,0.83724,0.78105,0.84237,0.58336,1.08393,0.79738,1.16189,0.000816875,0.000816875,0.000816875
9,46.6669,0.77974,0.60421,0.99127,0.80887,0.79036,0.82719,0.57038,1.06909,0.78262,1.14738,0.000755,0.000755,0.000755
10,51.5141,0.78998,0.60031,0.996,0.78154,0.77688,0.83884,0.58652,1.06015,0.86481,1.14469,0.000693125,0.000693125,0.000693125
11,85.6278,0.78963,0.6504,0.99051,0.83353,0.78351,0.83501,0.58161,1.09558,0.81141,1.17202,0.00063125,0.00063125,0.00063125
12,90.3208,0.76973,0.55944,0.98549,0.84109,0.69683,0.76299,0.53425,1.06469,0.84975,1.16484,0.000569375,0.000569375,0.000569375
13,95.0208,0.73945,0.53596,0.96271,0.86969,0.78785,0.86894,0.61082,1.07579,0.7517,1.15264,0.0005075,0.0005075,0.0005075
14,99.723,0.74483,0.52872,0.96881,0.80158,0.89473,0.89407,0.62726,1.05708,0.7014,1.1497,0.000445625,0.000445625,0.000445625
15,104.48,0.71813,0.49169,0.94951,0.89258,0.84336,0.89507,0.635,1.03134,0.6681,1.11961,0.00038375,0.00038375,0.00038375
16,109.286,0.68773,0.48989,0.94468,0.9109,0.78515,0.88062,0.61958,1.04604,0.70848,1.13035,0.000321875,0.000321875,0.000321875
17,114.048,0.66609,0.4597,0.92153,0.88816,0.8129,0.87653,0.62176,1.04786,0.69593,1.13625,0.00026,0.00026,0.00026
18,118.825,0.64752,0.44889,0.92249,0.83934,0.85597,0.88052,0.62651,1.0537,0.67052,1.15108,0.000198125,0.000198125,0.000198125
19,123.615,0.65467,0.44725,0.9271,0.82658,0.87379,0.87774,0.62769,1.04589,0.65936,1.15013,0.00013625,0.00013625,0.00013625
20,128.4,0.64604,0.43814,0.91417,0.82628,0.86533,0.87481,0.62443,1.04067,0.65444,1.14304,7.4375e-05,7.4375e-05,7.4375e-05
